Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
151,4819.592330384621,202172.39617306733,41.20417785644531,46.97826766967773,15180,44,5544.187011395232,0.0980578735470771,126.00425025898254
152,4827.671832140535,202551.1664591781,41.39140319824219,45.81902313232422,15280,46,5108.986949993181,0.0980203747749328,111.06493369550394
153,4833.59686771335,202956.4046433116,41.68621063232422,47.99174499511719,15380,51,5350.803840957233,0.0979828760027885,104.91772237171044
154,4820.754727736756,203387.5155910545,44.84549331665039,45.03681182861328,15480,45,5293.939209116856,0.0979453772306442,117.64309353593012
155,4823.282808883698,203844.017954909,39.27827835083008,42.84025955200195,15580,42,4893.085657858639,0.0979078784584999,116.50203947282472
156,4828.971987975121,204325.46278538936,40.39972686767578,41.50918960571289,15680,49,5353.913521233131,0.0978703796863555,109.26354124965574
157,4843.041854625742,204831.4655411461,43.453269958496094,41.45014953613281,15780,50,4728.992791431723,0.0978328734636306,94.57985582863446
158,4830.58313547523,205361.4845083743,43.86302185058594,42.76423263549805,15880,49,5178.284972903552,0.0977953746914863,105.67928516129696
159,4822.572541844216,205915.0193168986,44.374141693115234,37.37835311889648,15980,47,5526.48954634869,0.097757875919342,117.58488396486574
160,4825.03784478415,206491.6470957816,43.54927062988281,43.816551208496094,16080,42,4462.99436904653,0.0977203771471977,106.26177069158403
161,4823.989229813917,207090.933724492,45.68131256103516,43.7470588684082,16180,43,4928.601137795893,0.0976828783750534,114.6186311115324
162,4833.206782726513,207712.5187183883,44.871036529541016,41.5584831237793,16280,47,5032.995516121271,0.097645379602909,107.08501098130364
163,4832.900049998367,208355.99231022497,47.11771011352539,45.34603118896485,16380,51,5140.7963339849375,0.0976078733801841,100.79992811735173
164,4820.789830391004,209020.88313022352,43.189239501953125,38.2986946105957,16480,45,5086.4464937371085,0.0975703746080398,113.03214430526909
165,4808.957068983291,209706.7328383485,39.79947662353516,55.37876510620117,16580,39,5216.581928502244,0.0975328758358955,133.75851098723703
166,4834.634616097843,210413.31868539468,42.10520935058594,42.8661003112793,16680,45,4420.279544526304,0.0974953770637512,98.22843432280676
167,4824.975730224571,211140.2128897989,41.78798675537109,46.03297805786133,16780,49,5651.3253171910765,0.0974578782916069,115.3331697385934
168,4798.000483252516,211886.8953313299,46.328914642333984,46.240848541259766,16880,36,5399.678601161926,0.0974203795194625,149.99107225449794
169,4821.638911767572,212653.1558553827,44.15509414672852,37.17231369018555,16980,45,5351.558109183621,0.0973828732967376,118.9235135374138
170,4814.517752193729,213438.6093426174,48.00138092041016,47.20219802856445,17080,43,5339.184875199047,0.0973453745245933,124.16709012090809
171,4820.544417028024,214242.9560707972,43.681373596191406,45.3118782043457,17180,46,5340.787120244349,0.097307875752449,116.1040678313989
172,4845.764022443909,215066.01418953223,43.81508255004883,39.24599456787109,17280,56,5108.91056638374,0.0972703769803047,91.23054582828108
173,4818.593553682556,215907.30493652148,45.14307022094727,40.88628768920898,17380,42,4959.620493457303,0.0972328782081604,118.08620222517388
174,4818.86715718027,216766.5173158719,45.23359298706055,39.07398986816406,17480,43,5060.932981301739,0.097195379436016,117.6961158442265
175,4830.422984449833,217643.4115033231,43.83587265014648,41.41045379638672,17580,50,5121.140208333789,0.0971578732132911,102.42280416667576
176,4820.092089908547,218537.62944057665,42.132083892822266,39.93629455566406,17680,43,5057.931261892372,0.0971203744411468,117.62630841610168
177,4823.240600867313,219448.89684258503,41.99348068237305,44.751163482666016,17780,45,5053.46082556952,0.0970828756690025,112.29912945710043
178,4840.005304897844,220377.02162169327,43.133544921875,34.48259353637695,17880,47,4771.882668054779,0.0970453768968582,101.5294184692506
179,4817.438909584773,221321.5974527536,47.227989196777344,39.97504425048828,17980,43,5627.3861606469145,0.0970078781247139,130.86944559643987
180,4813.509224002191,222282.32995542645,37.130130767822266,48.0590705871582,18080,39,5057.881981184997,0.0969703793525695,129.68928156884607
181,4821.367126869096,223258.9959862396,41.642333984375,46.08462905883789,18180,46,5349.760345153511,0.0969328731298446,116.2991379381198
182,4835.9679147398565,224251.4141255397,45.33092880249024,38.1282844543457,18280,46,4369.740487346251,0.0968953743577003,94.99435842057068
183,4808.342696444248,225259.1774084151,41.292137145996094,43.822208404541016,18380,42,5961.507533285243,0.096857875585556,141.94065555441054
184,4796.024268426641,226281.97040860212,44.12825012207031,46.6680793762207,18480,35,5830.289328496961,0.0968203768134117,166.57969509991318
185,4825.84941280866,227319.7110615443,42.97917938232422,35.6196403503418,18580,48,5581.315555333509,0.0967828780412674,116.27740740278144
186,4823.692725139612,228372.14803223647,45.211708068847656,40.6953353881836,18680,46,5022.67441679776,0.096745379269123,109.18857427821216
187,4824.133569465019,229439.04914988653,46.33756256103516,42.93642425537109,18780,48,5472.546022911731,0.0967078730463981,114.01137547732772
188,4824.945961644698,230520.1891232315,42.24102020263672,48.45928192138672,18880,44,5102.774106264289,0.0966703742742538,115.97213877873384
189,4807.41511333402,231615.25086061147,45.19199752807617,43.24323272705078,18980,36,4731.759184022958,0.0966328755021095,131.43775511174883
190,4825.383242021955,232724.1097695477,40.55519485473633,48.9184455871582,19080,48,5174.373795351246,0.0965953767299652,107.79945406981764
191,4809.351643624832,233846.4667713265,37.6836166381836,58.27516555786133,19180,40,5307.702697428584,0.0965578779578208,132.69256743571458
192,4816.140824315778,234982.14722813503,41.50697708129883,53.34139633178711,19280,45,5503.603606142162,0.0965203791856765,122.30230235871473
193,4812.141434810415,236130.9244917539,45.69633865356445,48.43756866455078,19380,44,5906.462564428395,0.0964828729629516,134.2377855551908
194,4830.749038340582,237292.69249645533,44.91812896728516,42.68223190307617,19480,47,4884.850134468172,0.0964453741908073,103.9329815844292
195,4827.002074511605,238467.23328720327,45.15777206420898,35.21124649047852,19580,45,4890.297982745047,0.096407875418663,108.6732885054455
196,2842.089392776892,239644.27665567343,39.09843063354492,52.26649475097656,19639,24,2989.456095440313,0.0963857546448707,124.56067064334638
197,4763.667058593353,238458.0109506377,45.85623550415039,48.045894622802734,19738,41,5156.102872512623,0.0963486284017562,125.75860664664935
198,4831.871024712278,237307.9482729124,44.546512603759766,44.153541564941406,19838,49,4800.603991235772,0.0963111296296119,97.97151002521984
